"INTRATE" "NSOLD"
"1" 13.82 14.439
"2" 14.13 13.276
"3" 17.19 12.077
"4" 17.61 10.444
"5" 10.98 9.54
"6" 9.47 10.449
"7" 9.03 11.664
"8" 9.61 11.154
"9" 10.87 10.912
"10" 12.81 11.412
"11" 15.85 11.257
"12" 18.9 10.939
"13" 19.08 11.282
"14" 15.93 12.351
"15" 14.7 12.427
"16" 15.72 10.49
"17" 18.52 10.354
"18" 19.1 10.415
"19" 19.04 10.428
"20" 17.82 12.681
"21" 15.87 11.08
"22" 15.08 9.418
"23" 13.31 9.494
"24" 12.37 9.055
"25" 13.22 10.285
"26" 14.78 10.924
"27" 14.68 10.651
"28" 14.94 9.747
"29" 14.45 11.103
"30" 14.15 9.613
"31" 12.59 9.759
"32" 10.12 9.947
"33" 10.31 11.129
"34" 9.71 10.14
"35" 9.2 12.03
"36" 8.95 11.249
"37" 8.68 10.865
"38" 8.51 10.608
"39" 8.77 11.023
"40" 8.8 11.673
"41" 8.63 12.028
"42" 8.98 12.96
"43" 9.37 12.917
"44" 9.56 12.246
"45" 9.45 12.451
"46" 9.48 13.311
"47" 9.34 13.125
"48" 9.47 14.503
"49" 9.56 14.21
"50" 9.59 14.381
"51" 9.91 14.21
"52" 10.29 14.357
"53" 10.32 14.856
"54" 11.06 14.673
"55" 11.23 14.758
"56" 11.64 14.279
"57" 11.3 13.959
"58" 9.99 14.642
"59" 9.43 14.774
"60" 8.38 14.602
"61" 8.35 15.563
"62" 8.5 15.724
"63" 8.58 15.358
"64" 8.27 15.521
"65" 7.97 15.561
"66" 7.53 15.093
"67" 7.88 15.498
"68" 7.9 16.91
"69" 7.92 19.104
"70" 7.99 14.185
"71" 8.05 14.622
"72" 8.27 15.711
"73" 8.14 16.06
"74" 7.86 15.371
"75" 7.48 14.161
"76" 6.99 15.849
"77" 6.85 16.302
"78" 6.92 15.92
"79" 6.56 15.742
"80" 6.17 17.285
"81" 5.89 21.495
"82" 5.85 14.793
"83" 6.04 14.822
"84" 6.91 18.079
"85" 6.43 12.414
"86" 6.1 15.109
"87" 6.13 15.299
"88" 6.37 15.452
"89" 6.85 14.572
"90" 6.73 15.619
"91" 6.58 15.655
"92" 6.73 17.092
"93" 7.22 16.119
"94" 7.29 14.258
"95" 6.69 14.543
"96" 6.77 15.645
"97" 6.83 16.083
"98" 6.58 16.513
"99" 6.58 16.182
"100" 6.87 15.545
"101" 7.09 15.941
"102" 7.51 15.854
"103" 7.75 15.704
"104" 8.01 15.385
"105" 8.19 15.047
"106" 8.3 15.162
"107" 8.35 15.394
"108" 8.76 16.437
"109" 9.12 15.372
"110" 9.36 14.991
"111" 9.85 14.662
"112" 9.84 16.024
"113" 9.81 15.267
"114" 9.53 14.384
"115" 9.24 14.695
"116" 8.99 16.547
"117" 9.02 15.66
"118" 8.84 13.581
"119" 8.55 13.37
"120" 8.45 13.55
